Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  1.06      1.08     0.02  4668365     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(int const&, unsigned long) const
  1.06      1.09     0.02  4668345     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.71      1.10     0.01 18673379     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<std::type_index const, int> >::_M_v()
  0.71      1.11     0.01  9372127     0.00     0.00  __gnu_cxx::__normal_iterator<ape::Sprite**, std::vector<ape::Sprite*, std::allocator<ape::Sprite*> > >::base() const
  0.71      1.12     0.01  9336730     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, int> >::_M_ptr()
  0.71      1.13     0.01  9336694     0.00     0.00  std::__detail::_Hash_code_base<std::type_index, std::pair<std::type_index const, int>, std::__detail::_Select1st, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.71      1.14     0.01  9336692     0.00     0.00  std::type_index::hash_code() const
  0.71      1.15     0.01  9336692     0.00     0.00  std::__detail::_Hash_code_base<std::type_index, std::pair<std::type_index const, int>, std::__detail::_Select1st, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.71      1.16     0.01  9336692     0.00     0.00  std::remove_reference<std::type_index&>::type&& std::move<std::type_index&>(std::type_index&)
  0.71      1.17     0.01  9336691     0.00     0.00  decltype ((get<0>)((forward<std::pair<std::type_index const, int>&>)({parm#1}))) std::__detail::_Select1st::operator()<std::pair<std::type_index const, int>&>(std::pair<std::type_index const, int>&) const
  0.71      1.18     0.01  9336691     0.00     0.00  std::__detail::_Hash_code_base<std::type_index, std::pair<std::type_index const, int>, std::__detail::_Select1st, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.71      1.19     0.01  9336691     0.00     0.00  std::pair<std::type_index const, int>& std::forward<std::pair<std::type_index const, int>&>(std::remove_reference<std::pair<std::type_index const, int>&>::type&)
  0.71      1.20     0.01  9336690     0.00     0.00  std::_Hashtable<std::type_index, std::pair<std::type_index const, int>, std::allocator<std::pair<std::type_index const, int> >, std::__detail::_Select1st, std::equal_to<std::type_index>, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, std::type_index const&, unsigned long) const
  0.71      1.21     0.01  9336690     0.00     0.00  std::type_index::type_index(std::type_info const&)
  0.71      1.22     0.01  9336690     0.00     0.00  std::unordered_map<std::type_index, int, std::hash<std::type_index>, std::equal_to<std::type_index>, std::allocator<std::pair<std::type_index const, int> > >::operator[](std::type_index&&)
  0.71      1.23     0.01  9336689     0.00     0.00  std::__detail::_Hashtable_base<std::type_index, std::pair<std::type_index const, int>, std::__detail::_Select1st, std::equal_to<std::type_index>, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.71      1.24     0.01  9336689     0.00     0.00  std::type_info::operator==(std::type_info const&) const
  0.71      1.25     0.01  9336689     0.00     0.00  std::__detail::_Equal_helper<std::type_index, std::pair<std::type_index const, int>, std::__detail::_Select1st, std::equal_to<std::type_index>, unsigned long, false>::_S_equals(std::equal_to<std::type_index> const&, std::__detail::_Select1st const&, std::type_index const&, unsigned long, std::__detail::_Hash_node<std::pair<std::type_index const, int>, false>*)
  0.71      1.26     0.01  9336689     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<std::type_index>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::equal_to<std::type_index>, true> const&)
  0.71      1.27     0.01  9336610     0.00     0.00  void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&)
  0.71      1.28     0.01  4686063     0.00     0.00  bool __gnu_cxx::operator!=<ape::Sprite**, std::vector<ape::Sprite*, std::allocator<ape::Sprite*> > >(__gnu_cxx::__normal_iterator<ape::Sprite**, std::vector<ape::Sprite*, std::allocator<ape::Sprite*> > > const&, __gnu_cxx::__normal_iterator<ape::Sprite**, std::vector<ape::Sprite*, std::allocator<ape::Sprite*> > > const&)
  0.71      1.29     0.01  4681965     0.00     0.00  __gnu_cxx::__normal_iterator<ape::Sprite**, std::vector<ape::Sprite*, std::allocator<ape::Sprite*> > >::operator++()
  0.71      1.30     0.01  4681965     0.00     0.00  __gnu_cxx::__normal_iterator<ape::Sprite**, std::vector<ape::Sprite*, std::allocator<ape::Sprite*> > >::operator*() const
  0.71      1.31     0.01  4668404     0.00     0.00  std::hash<int>::operator()(int) const
  0.71      1.32     0.01  4668360     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.71      1.33     0.01  4668345     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
  0.71      1.34     0.01  4668345     0.00     0.00  std::unordered_map<int, int, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, int> > >::operator[](int const&)
  0.71      1.35     0.01  4668345     0.00     0.00  std::pair<int const, int>& std::forward<std::pair<int const, int>&>(std::remove_reference<std::pair<int const, int>&>::type&)
  0.71      1.36     0.01  4668343     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true> const&)
  0.71      1.37     0.01  4668315     0.00     0.00  std::vector<ape::Transform, std::allocator<ape::Transform> >::operator[](unsigned long)
