Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_multi_draw_arrays(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_stencil_clear_tag(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_window_rectangles(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_GREMEDY_string_marker(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_INTEL_parallel_arrays(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_conditional_render(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_depth_buffer_float(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_register_combiners(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_shader_buffer_load(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_transform_feedback(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_vertex_array_range(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_SGIS_point_parameters(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_AMD_draw_buffers_blend(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_APPLE_object_purgeable(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_color_buffer_float(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_draw_buffers_blend(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_framebuffer_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_get_program_binary(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_invalidate_subdata(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_framebuffer_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_raster_multisample(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_transform_feedback(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_IBM_vertex_array_lists(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_INTEL_framebuffer_CMAA(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NVX_conditional_render(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_conservative_raster(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_register_combiners2(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_texture_multisample(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_transform_feedback2(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_SGIX_fragment_lighting(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_SGIX_tag_sample_buffer(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_AMD_multi_draw_indirect(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_AMD_performance_monitor(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_ES3_1_compatibility(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_ES3_2_compatibility(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_blend_func_extended(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_clear_buffer_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_direct_state_access(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_indirect_parameters(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_multi_draw_indirect(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_tessellation_shader(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_texture_compression(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_texture_multisample(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_transform_feedback2(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_transform_feedback3(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_vertex_array_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_vertex_attrib_64bit(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ATI_vertex_array_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_blend_func_separate(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_direct_state_access(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_draw_range_elements(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_vertex_attrib_64bit(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_INTEL_performance_query(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_clip_space_w_scaling(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_explicit_multisample(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_SGIS_texture_color_mask(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_AMD_interleaved_elements(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_APPLE_flush_buffer_range(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_APPLE_vertex_array_range(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_internalformat_query(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_texture_buffer_range(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_vertex_buffer_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_polygon_offset_clamp(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_GREMEDY_frame_terminator(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_INGR_blend_func_separate(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_AMD_occlusion_query_event(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_APPLE_vertex_array_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_get_texture_sub_image(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_internalformat_query2(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_texture_buffer_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_uniform_buffer_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_vertex_attrib_binding(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_compiled_vertex_array(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_texture_buffer_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_texture_filter_minmax(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_IBM_multimode_draw_arrays(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_shader_atomic_counters(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_gpu_program_parameters(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_texture_perturb_normal(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_blend_equation_advanced(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_parameter_buffer_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_parallel_shader_compile(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_program_interface_query(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_separate_shader_objects(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_shader_image_load_store(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_blend_equation_separate(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_framebuffer_multisample(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_separate_shader_objects(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_EXT_shader_image_load_store(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_KHR_blend_equation_advanced(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_shading_language_include(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_framebuffer_mixed_samples(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_AMD_vertex_shader_tessellator(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_draw_elements_base_vertex(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_conservative_raster_dilate(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_fragment_coverage_to_color(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_AMD_stencil_operation_extended(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_framebuffer_no_attachments(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_vertex_type_2_10_10_10_rev(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ATI_vertex_attrib_array_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_internalformat_sample_query(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_vertex_attrib_integer_64bit(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_APPLE_vertex_program_evaluators(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_compute_variable_group_size(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_texture_storage_multisample(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_bindless_multi_draw_indirect(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_vertex_buffer_unified_memory(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_shader_storage_buffer_object(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_ARB_transform_feedback_instanced(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_framebuffer_multisample_coverage(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_bindless_multi_draw_indirect_count(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  load_GL_NV_conservative_raster_pre_snap_triangles(void* (*)(char const*))
  0.00      1.41     0.00        1     0.00     0.00  get_exts()
  0.00      1.41     0.00        1     0.00     0.00  free_exts()
  0.00      1.41     0.00        1     0.00     0.00  ape::FrameCounter::FrameCounter()
  0.00      1.41     0.00        1     0.00     0.00  ape::FrameCounter::~FrameCounter()
  0.00      1.41     0.00        1     0.00     0.00  ape::ComponentManager<ape::World::TagComponent>::ComponentManager()
  0.00      1.41     0.00        1     0.00     0.00  ape::ComponentManager<ape::Sprite>::ComponentManager()
  0.00      1.41     0.00        1     0.00     0.00  ape::ComponentManager<ape::Transform>::ComponentManager()
  0.00      1.41     0.00        1     0.00     0.00  ape::Vec2<int>::operator=(ape::Vec2<int> const&)
  0.00      1.41     0.00        1     0.00     0.00  ape::Event<ape::Vec2i>::addCallback(std::function<void (ape::Vec2i)>)
  0.00      1.41     0.00        1     0.00     0.00  ape::Event<ape::Vec2i>::emit(ape::Vec2i)
  0.00      1.41     0.00        1     0.00     0.00  ape::Event<int>::addCallback(std::function<void (int)>)
  0.00      1.41     0.00        1     0.00     0.00  ape::Event<int>::Event()
  0.00      1.41     0.00        1     0.00     0.00  ape::Event<int>::~Event()
  0.00      1.41     0.00        1     0.00     0.00  ape::Event<unsigned int>::Event()
  0.00      1.41     0.00        1     0.00     0.00  ape::Event<unsigned int>::~Event()
  0.00      1.41     0.00        1     0.00     0.00  ape::Vec2i::operator=(ape::Vec2i&&)
  0.00      1.41     0.00        1     0.00     0.00  ape::World::World()
  0.00      1.41     0.00        1     0.00     2.50  ape::World::~World()
  0.00      1.41     0.00        1     0.00     0.00  ape::Engine::getGraphics()
  0.00      1.41     0.00        1     0.00     0.00  ape::Engine::getWorld()
  0.00      1.41     0.00        1     0.00     0.00  ape::Engine::Engine()
  0.00      1.41     0.00        1     0.00     2.50  ape::Engine::~Engine()
  0.00      1.41     0.00        1     0.00     0.00  ape::Shader::load(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      1.41     0.00        1     0.00     0.00  ape::Window::create(int, int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  0.00      1.41     0.00        1     0.00     0.00  ape::Window::destroy()
  0.00      1.41     0.00        1     0.00     0.00  ape::Window::Window()
  0.00      1.41     0.00        1     0.00     0.00  ape::Window::~Window()
  0.00      1.41     0.00        1     0.00     0.00  ape::Graphics::_onWindowCreation()
  0.00      1.41     0.00        1     0.00     0.00  ape::Graphics::getWindow()
  0.00      1.41     0.00        1     0.00     0.00  ape::Graphics::Graphics(ape::World&)
  0.00      1.41     0.00        1     0.00     0.00  ape::Graphics::~Graphics()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<ape::World::EntityData>::new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<ape::World::EntityData>::~new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<ape::World::TagComponent>::new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<ape::World::TagComponent>::~new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<ape::Sprite>::new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<ape::Sprite>::~new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<ape::Transform>::new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<ape::Transform>::~new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, true> >::new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, true> >::~new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::type_index const, int>, false> >::new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::type_index const, int>, false> >::~new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, std::unique_ptr<ape::BaseComponent, std::default_delete<ape::BaseComponent> > >, false> >::new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<int const, std::unique_ptr<ape::BaseComponent, std::default_delete<ape::BaseComponent> > >, false> >::~new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<unsigned int> >::new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<unsigned int> >::~new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::function<void (ape::Vec2i)> >::deallocate(std::function<void (ape::Vec2i)>*, unsigned long)
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::function<void (ape::Vec2i)> >::allocate(unsigned long, void const*)
  0.00      1.41     0.00        1     0.00     0.00  void __gnu_cxx::new_allocator<std::function<void (ape::Vec2i)> >::construct<std::function<void (ape::Vec2i)>, std::function<void (ape::Vec2i)> const&>(std::function<void (ape::Vec2i)>*, std::function<void (ape::Vec2i)> const&)
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::function<void (int)> >::deallocate(std::function<void (int)>*, unsigned long)
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::function<void (int)> >::allocate(unsigned long, void const*)
  0.00      1.41     0.00        1     0.00     0.00  void __gnu_cxx::new_allocator<std::function<void (int)> >::construct<std::function<void (int)>, std::function<void (int)> const&>(std::function<void (int)>*, std::function<void (int)> const&)
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::function<void (int)> >::new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::function<void (int)> >::~new_allocator()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<std::function<void (ape::Vec2i)>*, std::vector<std::function<void (ape::Vec2i)>, std::allocator<std::function<void (ape::Vec2i)> > > >::operator++()
  0.00      1.41     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<std::function<void (ape::Vec2i)>*, std::vector<std::function<void (ape::Vec2i)>, std::allocator<std::function<void (ape::Vec2i)> > > >::operator*() const
  0.00      1.41     0.00        1     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_uses_single_bucket(std::__detail::_Hash_node_base**) const
  0.00      1.41     0.00        1     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_begin() const
  0.00      1.41     0.00        1     0.00     0.00  std::_Hashtable<std::type_index, std::pair<std::type_index const, int>, std::allocator<std::pair<std::type_index const, int> >, std::__detail::_Select1st, std::equal_to<std::type_index>, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(std::__detail::_Hash_node<std::pair<std::type_index const, int>, false>*) const
  0.00      1.41     0.00        1     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::unique_ptr<ape::BaseComponent, std::default_delete<ape::BaseComponent> > >, std::allocator<std::pair<int const, std::unique_ptr<ape::BaseComponent, std::default_delete<ape::BaseComponent> > > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(std::__detail::_Hash_node<std::pair<int const, std::unique_ptr<ape::BaseComponent, std::default_delete<ape::BaseComponent> > >, false>*) const
  0.00      1.41     0.00        1     0.00     0.00  std::unique_ptr<ape::Sprite, std::default_delete<ape::Sprite> >::get() const
  0.00      1.41     0.00        1     0.00     0.00  std::unique_ptr<ape::Transform, std::default_delete<ape::Transform> >::get() const
  0.00      1.41     0.00        1     0.00     0.00  std::vector<std::function<void (ape::Vec2i)>, std::allocator<std::function<void (ape::Vec2i)> > >::_M_check_len(unsigned long, char const*) const
  0.00      1.41     0.00        1     0.00     0.00  std::vector<std::function<void (int)>, std::allocator<std::function<void (int)> > >::_M_check_len(unsigned long, char const*) const
  0.00      1.41     0.00        1     0.00     0.00  std::function<void (ape::Vec2i)>::operator()(ape::Vec2i) const
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<ape::World::EntityData>::allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<ape::World::EntityData>::~allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<ape::World::TagComponent>::allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<ape::World::TagComponent>::~allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<ape::Sprite>::allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<ape::Sprite>::~allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<ape::Transform>::allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<ape::Transform>::~allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, true> >::allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, true> >::~allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<std::type_index const, int>, false> >::allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<std::type_index const, int>, false> >::~allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<int const, std::unique_ptr<ape::BaseComponent, std::default_delete<ape::BaseComponent> > >, false> >::allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<std::__detail::_Hash_node<std::pair<int const, std::unique_ptr<ape::BaseComponent, std::default_delete<ape::BaseComponent> > >, false> >::~allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<std::_Rb_tree_node<unsigned int> >::allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<std::_Rb_tree_node<unsigned int> >::~allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<std::function<void (int)> >::allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::allocator<std::function<void (int)> >::~allocator()
  0.00      1.41     0.00        1     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_deallocate_buckets(std::__detail::_Hash_node_base**, unsigned long)
  0.00      1.41     0.00        1     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_deallocate_buckets()
  0.00      1.41     0.00        1     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::clear()
  0.00      1.41     0.00        1     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_Hashtable()
  0.00      1.41     0.00        1     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int>, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, int> >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::~_Hashtable()
  0.00      1.41     0.00        1     0.00     2.50  std::_Hashtable<std::type_index, std::pair<std::type_index const, int>, std::allocator<std::pair<std::type_index const, int> >, std::__detail::_Select1st, std::equal_to<std::type_index>, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::clear()
